AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,VEHICLE_TYPE,OUTCOME
40-64,male,majority,20-29y,university,upper class,yes,after 2015,yes,yes,sedan,no
16-25,female,majority,0-9y,high school,working class,yes,before 2015,no,no,sedan,yes
65+,female,majority,0-9y,university,upper class,yes,before 2015,yes,yes,sedan,yes
26-39,female,majority,0-9y,high school,working class,yes,before 2015,no,no,sedan,no
65+,female,minority,10-19y,high school,upper class,no,before 2015,yes,yes,sedan,no
65+,male,majority,0-9y,high school,upper class,yes,after 2015,yes,yes,sedan,no
26-39,female,majority,10-19y,university,middle class,yes,before 2015,no,no,sedan,no
40-64,male,majority,20-29y,high school,upper class,yes,after 2015,yes,yes,sedan,no
65+,male,minority,30y+,university,upper class,no,before 2015,yes,yes,sedan,no
16-25,male,majority,0-9y,none,poverty,no,before 2015,no,yes,sedan,yes
40-64,female,majority,10-19y,university,upper class,yes,after 2015,yes,yes,sports car,no
65+,female,majority,0-9y,high school,upper class,yes,after 2015,no,yes,sedan,no
16-25,male,majority,0-9y,high school,poverty,yes,before 2015,no,no,sedan,yes
26-39,male,majority,10-19y,none,working class,no,before 2015,no,yes,sedan,no
26-39,female,majority,0-9y,university,upper class,no,after 2015,yes,yes,sedan,no
65+,female,majority,30y+,university,upper class,yes,after 2015,yes,yes,sedan,no
65+,female,majority,30y+,university,upper class,no,before 2015,no,no,sedan,no
26-39,female,majority,0-9y,university,upper class,yes,after 2015,no,no,sedan,no
40-64,female,majority,20-29y,high school,upper class,yes,after 2015,yes,yes,sedan,no
26-39,male,majority,10-19y,university,upper class,yes,after 2015,no,no,sedan,no
26-39,female,majority,0-9y,high school,middle class,yes,before 2015,yes,yes,sedan,yes
16-25,male,majority,0-9y,high school,poverty,yes,before 2015,no,no,sedan,yes
40-64,male,minority,20-29y,university,upper class,yes,before 2015,yes,yes,sedan,no
16-25,female,majority,0-9y,none,poverty,no,before 2015,no,yes,sedan,yes
16-25,male,majority,0-9y,high school,poverty,yes,before 2015,no,no,sedan,yes
40-64,male,majority,20-29y,university,middle class,yes,after 2015,no,no,sedan,no
40-64,female,majority,10-19y,university,upper class,yes,after 2015,no,no,sedan,no
65+,female,majority,30y+,none,upper class,yes,after 2015,yes,yes,sedan,no
26-39,male,majority,10-19y,none,poverty,no,before 2015,no,no,sedan,yes
16-25,female,majority,0-9y,high school,working class,yes,before 2015,no,no,sedan,no
16-25,female,majority,0-9y,high school,poverty,no,before 2015,no,yes,sports car,yes
26-39,female,majority,10-19y,high school,poverty,no,before 2015,no,yes,sedan,no
16-25,female,majority,0-9y,high school,middle class,yes,before 2015,no,no,sedan,no
65+,female,majority,30y+,high school,upper class,yes,before 2015,yes,yes,sedan,no
40-64,male,majority,20-29y,university,upper class,yes,after 2015,yes,yes,sedan,no
40-64,male,majority,20-29y,university,middle class,yes,after 2015,no,yes,sedan,no
40-64,male,majority,20-29y,none,working class,yes,before 2015,yes,yes,sedan,no
26-39,male,minority,10-19y,none,working class,no,after 2015,no,no,sedan,no
40-64,female,majority,20-29y,university,upper class,yes,before 2015,yes,yes,sedan,no
40-64,male,majority,20-29y,university,upper class,yes,before 2015,yes,no,sedan,no
65+,male,majority,30y+,university,working class,no,before 2015,yes,yes,sedan,no
26-39,male,majority,10-19y,university,middle class,no,after 2015,yes,yes,sedan,no
65+,male,majority,20-29y,high school,upper class,yes,after 2015,no,yes,sedan,no
26-39,male,majority,10-19y,high school,working class,yes,before 2015,no,no,sedan,no
26-39,male,minority,10-19y,high school,working class,yes,after 2015,no,yes,sedan,no
40-64,male,majority,20-29y,university,upper class,yes,before 2015,yes,yes,sports car,no
26-39,male,majority,10-19y,university,middle class,no,before 2015,yes,no,sports car,yes
40-64,male,majority,20-29y,university,upper class,yes,before 2015,yes,yes,sports car,no
16-25,female,minority,0-9y,high school,poverty,yes,before 2015,no,yes,sports car,no
16-25,male,majority,0-9y,none,poverty,no,before 2015,yes,yes,sedan,yes
26-39,female,majority,10-19y,none,working class,no,after 2015,no,yes,sedan,no
65+,male,majority,30y+,university,upper class,no,after 2015,yes,yes,sedan,no
16-25,male,majority,0-9y,university,working class,yes,after 2015,no,yes,sedan,no
40-64,female,majority,20-29y,high school,working class,yes,before 2015,yes,no,sports car,no
26-39,female,majority,10-19y,university,upper class,yes,after 2015,yes,yes,sedan,no
65+,female,majority,30y+,university,upper class,yes,after 2015,yes,yes,sedan,no
40-64,female,majority,20-29y,high school,upper class,yes,after 2015,yes,yes,sedan,no
65+,female,majority,30y+,high school,upper class,yes,after 2015,yes,yes,sedan,no
26-39,male,majority,10-19y,university,middle class,yes,before 2015,yes,yes,sedan,no
40-64,female,majority,20-29y,none,poverty,yes,before 2015,no,yes,sedan,yes
65+,female,majority,0-9y,university,upper class,no,after 2015,yes,yes,sedan,no
26-39,male,majority,10-19y,none,poverty,no,before 2015,no,yes,sedan,yes
40-64,male,majority,20-29y,high school,middle class,yes,after 2015,yes,yes,sedan,yes
40-64,male,majority,20-29y,high school,working class,no,before 2015,yes,yes,sedan,no
40-64,female,majority,20-29y,none,working class,yes,before 2015,no,yes,sedan,no
40-64,male,majority,20-29y,university,middle class,yes,before 2015,no,yes,sedan,no
26-39,male,majority,10-19y,university,middle class,yes,before 2015,yes,no,sedan,no
40-64,male,majority,20-29y,university,upper class,yes,before 2015,yes,no,sedan,no
16-25,male,majority,0-9y,university,poverty,no,before 2015,no,no,sedan,yes
26-39,female,majority,10-19y,high school,upper class,yes,after 2015,yes,no,sedan,no
26-39,male,majority,10-19y,university,middle class,yes,before 2015,no,yes,sedan,no
40-64,female,majority,20-29y,none,middle class,no,before 2015,yes,yes,sedan,no
40-64,male,majority,20-29y,high school,middle class,yes,before 2015,yes,yes,sedan,no
40-64,male,majority,20-29y,high school,middle class,no,before 2015,yes,yes,sedan,no
16-25,female,minority,0-9y,none,poverty,yes,before 2015,no,no,sedan,yes
40-64,male,majority,10-19y,university,upper class,yes,before 2015,yes,no,sedan,no
26-39,male,majority,10-19y,university,middle class,yes,before 2015,no,no,sedan,yes
26-39,male,minority,10-19y,high school,middle class,yes,after 2015,no,yes,sedan,yes
26-39,female,majority,10-19y,none,working class,yes,before 2015,yes,yes,sedan,no
40-64,male,majority,20-29y,university,middle class,no,before 2015,no,yes,sedan,no
26-39,female,majority,10-19y,none,poverty,no,before 2015,no,yes,sedan,yes
26-39,male,majority,10-19y,university,working class,no,before 2015,yes,no,sedan,yes
65+,female,majority,30y+,university,upper class,yes,before 2015,yes,no,sedan,no
26-39,female,majority,10-19y,high school,poverty,yes,before 2015,yes,yes,sedan,no
40-64,female,majority,0-9y,high school,upper class,yes,before 2015,yes,no,sedan,no
40-64,female,majority,20-29y,university,upper class,yes,after 2015,yes,yes,sedan,no
16-25,female,majority,0-9y,university,working class,no,after 2015,no,yes,sedan,yes
40-64,female,majority,10-19y,high school,upper class,yes,after 2015,yes,no,sedan,no
40-64,female,majority,10-19y,university,upper class,yes,after 2015,yes,yes,sedan,no
40-64,female,majority,20-29y,high school,upper class,yes,before 2015,yes,yes,sedan,no
16-25,male,majority,0-9y,university,working class,yes,before 2015,no,no,sedan,no
26-39,female,majority,0-9y,none,poverty,yes,before 2015,no,yes,sedan,yes
40-64,male,majority,0-9y,high school,working class,no,before 2015,yes,yes,sedan,yes
26-39,male,majority,10-19y,university,middle class,yes,before 2015,no,yes,sedan,no
16-25,male,majority,0-9y,university,poverty,yes,after 2015,no,no,sedan,no
26-39,female,majority,10-19y,none,working class,yes,before 2015,no,no,sedan,no
26-39,male,majority,10-19y,high school,middle class,yes,after 2015,no,no,sedan,no
26-39,male,majority,10-19y,university,upper class,yes,after 2015,yes,yes,sports car,no
65+,male,majority,30y+,university,upper class,yes,before 2015,yes,yes,sedan,no
26-39,female,majority,10-19y,none,poverty,no,before 2015,no,no,sedan,no
40-64,female,majority,0-9y,none,working class,yes,before 2015,no,yes,sedan,yes
26-39,female,majority,10-19y,high school,working class,yes,before 2015,no,yes,sedan,no
26-39,male,majority,10-19y,high school,middle class,yes,before 2015,yes,no,sedan,no
26-39,male,minority,0-9y,none,poverty,no,after 2015,yes,yes,sedan,yes
40-64,male,majority,10-19y,university,upper class,no,after 2015,yes,yes,sedan,no
26-39,male,majority,10-19y,university,middle class,yes,before 2015,no,yes,sedan,no
40-64,female,majority,20-29y,university,upper class,yes,after 2015,no,yes,sedan,no
26-39,female,majority,0-9y,high school,upper class,yes,before 2015,yes,yes,sedan,yes
65+,male,majority,0-9y,high school,upper class,yes,before 2015,yes,yes,sedan,no
40-64,male,majority,20-29y,high school,working class,yes,before 2015,no,yes,sedan,no
65+,female,majority,0-9y,university,upper class,yes,after 2015,yes,yes,sedan,no
40-64,male,majority,20-29y,none,poverty,yes,before 2015,no,yes,sedan,no
65+,male,majority,30y+,high school,upper class,no,before 2015,no,yes,sedan,no
40-64,male,majority,20-29y,university,upper class,yes,before 2015,yes,yes,sedan,no
26-39,female,majority,10-19y,high school,middle class,yes,before 2015,no,yes,sedan,no
65+,female,majority,30y+,high school,upper class,yes,after 2015,no,yes,sedan,no
26-39,female,minority,10-19y,none,poverty,no,before 2015,no,no,sedan,yes
65+,female,majority,0-9y,university,upper class,no,before 2015,yes,yes,sedan,no
26-39,male,majority,10-19y,university,poverty,yes,before 2015,no,no,sedan,no
40-64,male,majority,20-29y,high school,upper class,yes,after 2015,yes,no,sedan,no
26-39,male,majority,0-9y,university,middle class,yes,before 2015,yes,yes,sedan,yes
40-64,male,majority,20-29y,none,working class,yes,before 2015,no,no,sedan,no
40-64,male,majority,10-19y,university,upper class,yes,after 2015,yes,yes,sedan,no
40-64,male,majority,10-19y,high school,upper class,yes,before 2015,no,yes,sedan,yes
26-39,female,majority,10-19y,high school,middle class,no,before 2015,yes,yes,sedan,yes
26-39,female,majority,10-19y,university,middle class,yes,before 2015,yes,no,sedan,no
26-39,female,majority,0-9y,none,working class,yes,before 2015,no,yes,sedan,yes
40-64,male,majority,10-19y,high school,upper class,yes,after 2015,yes,yes,sedan,no
40-64,male,majority,10-19y,university,upper class,yes,before 2015,yes,yes,sedan,no
26-39,male,majority,10-19y,university,upper class,yes,after 2015,no,yes,sedan,no
16-25,female,majority,0-9y,none,poverty,no,before 2015,no,no,sedan,yes
16-25,male,majority,0-9y,high school,middle class,no,before 2015,yes,yes,sedan,no
65+,male,majority,20-29y,university,upper class,yes,before 2015,no,yes,sedan,yes
40-64,male,minority,10-19y,high school,working class,no,before 2015,yes,yes,sedan,yes
65+,male,majority,30y+,university,upper class,yes,before 2015,yes,no,sedan,no
26-39,male,majority,10-19y,university,upper class,yes,after 2015,no,yes,sedan,yes
40-64,male,majority,10-19y,high school,middle class,yes,before 2015,yes,yes,sedan,no
65+,male,majority,30y+,university,upper class,yes,after 2015,yes,yes,sedan,no
26-39,male,majority,0-9y,none,poverty,no,before 2015,no,yes,sedan,yes
65+,male,majority,10-19y,none,upper class,no,before 2015,yes,no,sedan,yes
40-64,female,majority,20-29y,high school,poverty,yes,before 2015,no,yes,sedan,no
40-64,male,majority,10-19y,high school,upper class,yes,after 2015,yes,yes,sedan,no
40-64,female,majority,10-19y,none,working class,yes,before 2015,yes,yes,sedan,no
40-64,female,majority,20-29y,high school,upper class,yes,after 2015,no,no,sedan,no
16-25,female,majority,0-9y,none,poverty,yes,before 2015,yes,no,sedan,no
16-25,female,majority,0-9y,high school,poverty,no,before 2015,no,yes,sedan,no
40-64,male,majority,20-29y,high school,upper class,no,before 2015,no,yes,sedan,no
65+,female,majority,30y+,university,upper class,yes,after 2015,yes,yes,sedan,no
65+,female,majority,30y+,university,upper class,yes,before 2015,yes,yes,sedan,no
26-39,female,majority,10-19y,none,poverty,yes,before 2015,no,yes,sedan,no
40-64,male,minority,0-9y,high school,upper class,yes,after 2015,yes,yes,sedan,no
65+,male,majority,10-19y,high school,upper class,yes,before 2015,no,yes,sedan,yes
26-39,male,majority,0-9y,none,working class,no,before 2015,no,yes,sedan,yes
26-39,female,majority,0-9y,high school,middle class,yes,after 2015,no,yes,sedan,no
16-25,male,majority,0-9y,high school,poverty,yes,before 2015,no,yes,sedan,yes
16-25,male,majority,0-9y,university,working class,yes,before 2015,no,yes,sedan,yes
65+,female,minority,30y+,none,upper class,yes,before 2015,yes,yes,sedan,no
26-39,female,majority,10-19y,high school,working class,no,before 2015,no,yes,sedan,yes
65+,male,majority,30y+,university,upper class,yes,before 2015,yes,yes,sedan,no
26-39,female,majority,0-9y,high school,middle class,yes,after 2015,no,no,sedan,no
16-25,male,majority,0-9y,high school,poverty,no,before 2015,yes,no,sedan,yes
26-39,male,majority,10-19y,high school,working class,yes,after 2015,no,yes,sedan,no
16-25,female,majority,0-9y,none,poverty,no,before 2015,no,no,sedan,yes
40-64,male,majority,0-9y,high school,working class,no,before 2015,no,yes,sedan,yes
40-64,female,minority,0-9y,high school,middle class,yes,before 2015,no,yes,sedan,no
40-64,male,majority,20-29y,university,upper class,yes,after 2015,no,yes,sedan,no
16-25,male,majority,0-9y,university,poverty,no,before 2015,no,no,sedan,yes
26-39,male,majority,10-19y,none,poverty,no,before 2015,no,yes,sedan,yes
26-39,male,majority,10-19y,university,upper class,yes,after 2015,yes,yes,sedan,no
65+,female,majority,20-29y,high school,middle class,yes,before 2015,yes,yes,sedan,no
26-39,male,minority,0-9y,university,working class,yes,before 2015,no,yes,sedan,yes
26-39,female,majority,10-19y,university,middle class,yes,before 2015,yes,yes,sedan,no
40-64,male,majority,0-9y,university,upper class,yes,after 2015,yes,yes,sedan,no
26-39,male,majority,10-19y,university,middle class,yes,before 2015,no,yes,sedan,no
40-64,male,majority,0-9y,university,upper class,yes,before 2015,no,yes,sedan,no
16-25,female,majority,0-9y,high school,middle class,yes,before 2015,no,no,sedan,no
26-39,female,majority,10-19y,high school,working class,yes,before 2015,yes,no,sedan,no
26-39,male,majority,0-9y,high school,middle class,no,after 2015,no,yes,sedan,yes
65+,female,majority,20-29y,university,upper class,yes,before 2015,yes,yes,sports car,no
26-39,female,majority,10-19y,university,upper class,yes,after 2015,yes,no,sports car,no
26-39,male,minority,10-19y,university,upper class,yes,after 2015,yes,no,sedan,no
26-39,female,majority,10-19y,high school,middle class,yes,before 2015,no,yes,sedan,no
26-39,female,majority,10-19y,none,upper class,yes,before 2015,no,yes,sedan,no
26-39,female,majority,10-19y,high school,working class,no,before 2015,yes,yes,sedan,no
26-39,female,majority,10-19y,none,poverty,no,before 2015,no,yes,sports car,no
40-64,male,majority,20-29y,university,upper class,yes,before 2015,yes,yes,sedan,no
26-39,male,majority,10-19y,university,upper class,yes,after 2015,yes,no,sports car,no
26-39,male,majority,0-9y,none,poverty,yes,before 2015,no,no,sedan,no
26-39,male,majority,0-9y,university,middle class,yes,after 2015,no,yes,sedan,no
65+,female,majority,0-9y,high school,upper class,yes,before 2015,yes,yes,sedan,yes
26-39,female,minority,10-19y,high school,upper class,no,before 2015,no,no,sedan,no
40-64,female,majority,0-9y,high school,upper class,yes,after 2015,no,yes,sedan,no
16-25,female,minority,0-9y,none,poverty,no,before 2015,no,no,sedan,yes
16-25,male,majority,0-9y,high school,poverty,no,before 2015,no,no,sedan,yes
65+,male,majority,30y+,high school,upper class,yes,before 2015,yes,yes,sports car,no
65+,male,majority,20-29y,high school,upper class,yes,after 2015,yes,yes,sedan,no
26-39,female,majority,10-19y,high school,poverty,no,before 2015,yes,yes,sedan,yes
65+,female,majority,30y+,high school,upper class,yes,after 2015,yes,no,sedan,no
26-39,female,majority,10-19y,high school,upper class,yes,after 2015,yes,yes,sports car,yes
26-39,male,majority,10-19y,none,working class,yes,before 2015,no,yes,sedan,no
65+,male,majority,20-29y,university,upper class,yes,before 2015,yes,yes,sedan,no
40-64,male,majority,0-9y,university,upper class,yes,before 2015,no,no,sedan,yes
40-64,female,majority,20-29y,high school,middle class,no,before 2015,yes,yes,sports car,no
40-64,male,majority,20-29y,high school,upper class,yes,after 2015,yes,yes,sedan,no
40-64,female,majority,10-19y,high school,upper class,yes,before 2015,no,yes,sedan,no
26-39,male,majority,10-19y,university,upper class,yes,after 2015,yes,no,sedan,no
16-25,female,majority,0-9y,high school,working class,yes,before 2015,no,yes,sedan,yes
16-25,female,majority,0-9y,none,poverty,yes,before 2015,no,no,sedan,yes
40-64,male,majority,10-19y,university,upper class,yes,before 2015,yes,yes,sedan,no
16-25,female,majority,0-9y,none,poverty,no,before 2015,no,no,sedan,yes
16-25,female,majority,0-9y,high school,poverty,no,before 2015,no,yes,sedan,yes
65+,female,majority,30y+,high school,middle class,no,before 2015,no,yes,sedan,no
65+,female,majority,30y+,none,upper class,no,after 2015,yes,yes,sedan,no
16-25,female,minority,0-9y,none,working class,yes,after 2015,no,no,sedan,no
40-64,male,majority,20-29y,university,upper class,no,after 2015,yes,yes,sedan,no
40-64,male,majority,0-9y,university,upper class,yes,before 2015,yes,yes,sedan,yes
16-25,male,majority,0-9y,high school,working class,yes,before 2015,no,no,sedan,yes
65+,male,majority,20-29y,university,upper class,yes,after 2015,no,yes,sedan,no
40-64,male,majority,10-19y,university,upper class,yes,before 2015,yes,yes,sedan,yes
26-39,male,majority,10-19y,university,middle class,yes,before 2015,no,no,sedan,no
26-39,female,majority,0-9y,university,upper class,yes,before 2015,no,yes,sedan,no
26-39,male,majority,10-19y,university,upper class,yes,before 2015,no,yes,sedan,yes
40-64,male,majority,10-19y,none,poverty,no,before 2015,no,yes,sedan,no
40-64,female,majority,20-29y,university,middle class,no,before 2015,yes,yes,sedan,no
40-64,female,majority,0-9y,university,upper class,yes,after 2015,yes,yes,sedan,no
26-39,male,majority,10-19y,high school,middle class,yes,before 2015,yes,no,sedan,yes
65+,female,majority,10-19y,university,upper class,yes,before 2015,yes,yes,sedan,no
16-25,male,majority,0-9y,university,upper class,yes,after 2015,yes,yes,sedan,no
26-39,male,majority,10-19y,none,poverty,yes,before 2015,no,yes,sedan,no
65+,female,majority,30y+,high school,upper class,no,before 2015,yes,yes,sedan,no
16-25,male,majority,0-9y,university,working class,yes,before 2015,no,yes,sedan,yes
40-64,female,majority,20-29y,high school,upper class,no,before 2015,yes,yes,sedan,no
26-39,male,majority,10-19y,high school,working class,yes,before 2015,yes,yes,sedan,no
26-39,female,minority,10-19y,high school,middle class,yes,after 2015,yes,yes,sedan,no
16-25,male,majority,0-9y,high school,poverty,no,after 2015,yes,yes,sedan,no
26-39,female,majority,10-19y,none,working class,no,before 2015,no,yes,sedan,yes
16-25,male,majority,0-9y,university,poverty,no,before 2015,no,no,sedan,yes
65+,male,majority,30y+,university,upper class,yes,after 2015,yes,yes,sedan,no
40-64,male,majority,20-29y,high school,upper class,no,after 2015,yes,yes,sedan,no
65+,female,majority,20-29y,high school,upper class,no,before 2015,yes,yes,sedan,no
65+,male,majority,30y+,university,upper class,yes,before 2015,yes,yes,sedan,no
40-64,female,majority,20-29y,high school,middle class,yes,before 2015,no,yes,sedan,no
26-39,female,minority,10-19y,university,working class,no,before 2015,no,yes,sedan,yes
40-64,male,majority,0-9y,university,upper class,no,before 2015,yes,yes,sedan,yes
40-64,male,minority,20-29y,university,upper class,yes,after 2015,no,yes,sports car,no
65+,male,majority,30y+,university,upper class,yes,after 2015,yes,yes,sedan,no
65+,female,majority,0-9y,university,upper class,no,before 2015,no,yes,sedan,yes
40-64,female,majority,0-9y,university,upper class,yes,after 2015,yes,yes,sedan,no
65+,male,majority,10-19y,university,upper class,yes,after 2015,yes,yes,sedan,no
16-25,male,minority,0-9y,high school,working class,no,before 2015,no,yes,sedan,yes
26-39,female,majority,10-19y,none,poverty,no,before 2015,no,yes,sedan,yes
26-39,female,majority,10-19y,university,upper class,yes,after 2015,no,no,sedan,no
40-64,male,majority,20-29y,university,upper class,yes,before 2015,yes,yes,sedan,no
40-64,female,majority,10-19y,university,upper class,yes,after 2015,yes,yes,sedan,no
65+,female,majority,10-19y,university,upper class,yes,before 2015,no,yes,sedan,yes
40-64,female,majority,20-29y,none,middle class,yes,after 2015,no,yes,sedan,no
40-64,female,majority,20-29y,high school,working class,yes,before 2015,no,yes,sedan,no
26-39,male,minority,10-19y,none,poverty,yes,before 2015,no,yes,sedan,no
26-39,female,majority,10-19y,university,upper class,yes,before 2015,no,yes,sedan,no
16-25,male,majority,0-9y,university,working class,no,before 2015,yes,no,sedan,yes
65+,female,majority,20-29y,university,upper class,yes,before 2015,yes,yes,sedan,no
40-64,female,majority,10-19y,university,upper class,yes,after 2015,no,yes,sports car,yes
40-64,male,majority,0-9y,high school,upper class,yes,after 2015,yes,yes,sedan,no
26-39,female,majority,10-19y,high school,working class,no,before 2015,no,no,sedan,no
26-39,female,majority,0-9y,high school,middle class,yes,before 2015,yes,yes,sedan,yes
16-25,male,majority,0-9y,university,working class,yes,before 2015,no,yes,sedan,no
40-64,female,majority,20-29y,high school,upper class,yes,before 2015,no,yes,sedan,no
40-64,male,majority,20-29y,university,upper class,yes,before 2015,yes,yes,sedan,no
26-39,male,majority,10-19y,none,poverty,yes,before 2015,no,yes,sedan,no
16-25,male,majority,0-9y,university,upper class,yes,after 2015,no,no,sedan,yes
26-39,male,majority,0-9y,university,middle class,no,before 2015,yes,yes,sedan,yes
65+,male,minority,0-9y,none,upper class,yes,after 2015,yes,yes,sports car,no
40-64,male,majority,10-19y,high school,middle class,yes,before 2015,yes,yes,sedan,no
26-39,male,minority,10-19y,none,working class,yes,before 2015,yes,yes,sedan,no
65+,female,majority,30y+,none,working class,no,before 2015,yes,no,sedan,no
26-39,female,majority,0-9y,university,upper class,yes,before 2015,no,yes,sedan,no
40-64,male,majority,20-29y,university,middle class,yes,before 2015,no,no,sedan,no
65+,male,minority,0-9y,none,upper class,no,before 2015,yes,yes,sedan,yes
65+,female,majority,0-9y,high school,upper class,no,after 2015,yes,yes,sports car,yes
40-64,male,majority,10-19y,university,upper class,yes,after 2015,yes,no,sedan,no
16-25,male,majority,0-9y,none,poverty,no,before 2015,no,yes,sedan,yes
26-39,male,majority,10-19y,university,middle class,yes,before 2015,no,yes,sedan,no
26-39,female,majority,10-19y,high school,working class,yes,before 2015,no,no,sports car,no
40-64,male,majority,20-29y,high school,upper class,yes,after 2015,yes,yes,sedan,no
16-25,female,majority,0-9y,high school,poverty,no,before 2015,no,yes,sedan,yes
26-39,female,majority,10-19y,none,middle class,no,after 2015,no,no,sedan,yes
16-25,female,minority,0-9y,none,poverty,yes,before 2015,no,no,sedan,no
26-39,female,majority,10-19y,high school,middle class,yes,before 2015,yes,yes,sedan,no
40-64,male,majority,20-29y,university,upper class,yes,after 2015,yes,yes,sports car,no
16-25,male,majority,0-9y,university,working class,yes,before 2015,no,no,sedan,yes
26-39,female,majority,10-19y,high school,poverty,yes,before 2015,yes,no,sedan,no
65+,male,majority,20-29y,university,upper class,yes,before 2015,yes,yes,sedan,no
16-25,female,majority,0-9y,high school,poverty,no,before 2015,no,no,sports car,yes
40-64,male,majority,20-29y,university,upper class,yes,before 2015,yes,yes,sedan,no
26-39,male,majority,10-19y,none,poverty,no,before 2015,no,no,sedan,no
26-39,female,majority,0-9y,none,poverty,no,before 2015,no,no,sedan,yes
26-39,female,minority,10-19y,none,poverty,no,before 2015,yes,yes,sedan,yes
26-39,male,majority,10-19y,high school,poverty,no,before 2015,no,yes,sedan,no
65+,female,majority,10-19y,high school,upper class,no,before 2015,yes,yes,sedan,no
40-64,female,majority,20-29y,high school,upper class,yes,before 2015,no,yes,sedan,no
26-39,male,majority,10-19y,university,middle class,no,before 2015,yes,no,sedan,no
26-39,male,majority,10-19y,none,poverty,no,before 2015,no,no,sports car,no
26-39,male,majority,10-19y,university,middle class,yes,before 2015,no,no,sedan,no
26-39,female,majority,10-19y,university,upper class,yes,after 2015,yes,yes,sedan,no
26-39,male,majority,0-9y,high school,middle class,yes,before 2015,yes,yes,sedan,yes
26-39,male,majority,10-19y,none,working class,yes,before 2015,no,no,sedan,no
26-39,female,majority,10-19y,high school,upper class,yes,after 2015,yes,no,sedan,no
40-64,male,majority,20-29y,university,upper class,yes,before 2015,no,no,sedan,no
26-39,male,majority,10-19y,high school,working class,no,before 2015,yes,yes,sedan,no
65+,female,minority,30y+,university,upper class,yes,before 2015,yes,yes,sedan,no
26-39,female,majority,10-19y,high school,working class,no,after 2015,no,no,sedan,no
26-39,female,majority,10-19y,high school,middle class,no,before 2015,no,yes,sedan,yes
26-39,male,majority,0-9y,high school,middle class,yes,before 2015,yes,no,sedan,no
40-64,female,majority,10-19y,high school,middle class,no,before 2015,yes,yes,sedan,no
65+,female,majority,30y+,high school,middle class,yes,after 2015,no,yes,sedan,no
16-25,female,majority,0-9y,none,poverty,no,before 2015,no,yes,sedan,yes
26-39,male,majority,0-9y,university,middle class,yes,after 2015,yes,no,sedan,no
65+,female,majority,30y+,university,upper class,yes,before 2015,no,yes,sedan,no
65+,male,majority,20-29y,high school,upper class,yes,after 2015,yes,yes,sedan,yes
26-39,male,majority,10-19y,high school,middle class,yes,before 2015,yes,yes,sedan,no
65+,male,majority,30y+,university,upper class,yes,before 2015,yes,yes,sedan,no
65+,male,majority,30y+,university,upper class,yes,after 2015,no,yes,sedan,no
16-25,female,majority,0-9y,university,working class,no,before 2015,no,no,sedan,yes
40-64,male,majority,20-29y,high school,middle class,no,after 2015,yes,yes,sedan,no
40-64,female,majority,10-19y,university,upper class,yes,after 2015,yes,yes,sedan,no
40-64,female,majority,20-29y,high school,upper class,no,before 2015,no,yes,sedan,no
26-39,female,majority,0-9y,university,working class,yes,before 2015,no,yes,sedan,no
40-64,male,majority,10-19y,high school,working class,no,before 2015,no,yes,sedan,no
65+,male,majority,30y+,university,upper class,yes,after 2015,yes,yes,sedan,no
16-25,male,minority,0-9y,high school,working class,yes,before 2015,no,no,sedan,yes
65+,female,majority,30y+,university,upper class,yes,before 2015,yes,yes,sedan,no
65+,female,majority,30y+,university,upper class,yes,before 2015,yes,yes,sedan,no
26-39,male,majority,10-19y,high school,upper class,yes,after 2015,yes,yes,sedan,yes
26-39,female,majority,10-19y,high school,middle class,yes,before 2015,no,no,sedan,yes
16-25,male,majority,0-9y,high school,working class,no,before 2015,no,no,sedan,yes
26-39,female,majority,10-19y,none,working class,yes,before 2015,yes,no,sedan,no
65+,female,majority,0-9y,university,upper class,yes,before 2015,yes,yes,sedan,yes
40-64,male,majority,0-9y,university,upper class,yes,before 2015,yes,yes,sedan,no
26-39,female,majority,10-19y,university,working class,yes,before 2015,no,yes,sedan,no
65+,female,majority,30y+,high school,upper class,yes,before 2015,yes,yes,sedan,no
16-25,female,majority,0-9y,none,poverty,yes,before 2015,no,no,sedan,no
65+,male,majority,10-19y,university,upper class,yes,before 2015,yes,yes,sedan,no
26-39,female,majority,0-9y,high school,working class,yes,before 2015,no,yes,sedan,no
26-39,female,majority,0-9y,none,middle class,yes,before 2015,yes,yes,sedan,yes
26-39,male,minority,10-19y,university,middle class,yes,before 2015,no,yes,sedan,yes
65+,male,majority,20-29y,university,upper class,yes,before 2015,yes,yes,sedan,no
65+,male,majority,30y+,high school,upper class,yes,before 2015,yes,yes,sedan,no
16-25,female,minority,0-9y,none,working class,yes,before 2015,no,no,sedan,no
40-64,male,majority,0-9y,high school,working class,yes,before 2015,no,yes,sports car,yes
16-25,female,majority,0-9y,none,poverty,yes,before 2015,no,yes,sedan,yes
40-64,female,majority,10-19y,high school,working class,no,after 2015,no,yes,sedan,no
26-39,female,majority,10-19y,none,poverty,no,before 2015,no,yes,sports car,no
26-39,male,majority,10-19y,high school,middle class,yes,before 2015,yes,no,sports car,no
26-39,male,majority,10-19y,university,middle class,yes,after 2015,yes,yes,sedan,no
65+,male,majority,20-29y,high school,middle class,yes,before 2015,no,no,sedan,no
